Pt600000,170.914,708.623
Pt600001,527.361,944.523
Pt600002,5.34185,37.9042
Pt600003,649.743,423.128
Pt600004,758.438,44.6296
Pt600005,929.986,397.14
Pt600006,821.409,837.144
Pt600007,483.113,521.706
Pt600008,31.7222,180.52
Pt600009,717.601,479.885
Pt600010,50.4456,869.846
Pt600011,244.691,988.865
Pt600012,99.2893,169.22
Pt600013,150.959,587.437
Pt600014,182.537,887.902
Pt600015,170.384,260.021
Pt600016,620.41,497.585
Pt600017,395.562,646.306
Pt600018,461.802,591.462
Pt600019,710.26,543.882
Pt600020,904.153,632.86
Pt600021,496.797,332.122
Pt600022,472.356,436.126
Pt600023,538.608,902.235
Pt600024,49.9225,329.472
Pt600025,193.903,670.408
Pt600026,793.337,28.9034
Pt600027,12.3681,162.584
Pt600028,345.297,36.7068
Pt600029,501.342,340.04
Pt600030,269.09,987.092
Pt600031,429.001,922.327
Pt600032,184.696,290.71
Pt600033,523.121,958.786
Pt600034,81.0299,792.144
Pt600035,524.186,195.746
Pt600036,602.914,197.426
Pt600037,324.844,529.429
Pt600038,588.121,683.623
Pt600039,543.54,816.028
Pt600040,247.451,664.833
Pt600041,209.367,349.986
Pt600042,145.518,584.322
Pt600043,191.424,480.683
Pt600044,276.564,62.7943
Pt600045,6.88982,943.353
Pt600046,21.1845,845.65
Pt600047,285.05,639.222
Pt600048,461.99,116.161
Pt600049,386.872,90.8718
Pt600050,164.525,180.368
Pt600051,614.258,618.934
Pt600052,399.327,271.571
Pt600053,458.702,936.971
Pt600054,653.559,488.754
Pt600055,98.2777,473.891
Pt600056,77.7498,912.958
Pt600057,707.852,464.485
Pt600058,878.511,361.832
Pt600059,210.861,52.0066
Pt600060,504.402,286.137
Pt600061,826.035,941.802
Pt600062,376.9,677.065
Pt600063,81.3011,29.4704
Pt600064,588.935,897.539
Pt600065,560.045,389.666
Pt600066,169.773,420.488
Pt600067,417.983,286.507
Pt600068,400.441,711.325
Pt600069,46.9016,265.582
Pt600070,608.438,198.034
Pt600071,369.423,397.541
Pt600072,834.045,487.497
Pt600073,894.093,558.675
Pt600074,265.332,902.61
Pt600075,138.795,790.364
Pt600076,579.342,383.057
Pt600077,130.736,413.371
Pt600078,134.668,494.71
Pt600079,493.885,735.895
Pt600080,517.777,103.541
Pt600081,384.691,919.056
Pt600082,462.946,598.551
Pt600083,152.59,259.928
Pt600084,5.81964,805.001
Pt600085,657.329,437.57
Pt600086,843.147,785.912
Pt600087,147.622,855.898
Pt600088,589.944,71.0644
Pt600089,713.196,190.586
Pt600090,135.394,626.343
Pt600091,738.445,731.61
Pt600092,696.316,157.881
Pt600093,626.135,746.473
Pt600094,569.524,470.785
Pt600095,593.234,459.034
Pt600096,750.228,913.544
Pt600097,835.413,734.145
Pt600098,611.175,333.921
Pt600099,112.366,289.357
Pt600100,566.745,10.3743
Pt600101,776.693,864.615
Pt600102,167.313,710.243
Pt600103,182.267,312.648
Pt600104,276.529,635.223
Pt600105,276.856,487.247
Pt600106,376.234,91.5199
Pt600107,409.265,626.074
Pt600108,601.782,504.385
Pt600109,675.197,358.468
Pt600110,550.579,518.496
Pt600111,843.003,829.579
Pt600112,486.09,706.714
Pt600113,47.4892,37.8533
Pt600114,548.804,386.555
Pt600115,945.009,864.962
Pt600116,380.209,166.697
Pt600117,1.47726,710.719
Pt600118,496.556,113.712
Pt600119,110.91,2.47116
Pt600120,36.9371,92.5237
Pt600121,829.303,107.742
Pt600122,511.615,822.968
Pt600123,65.8419,857.352
Pt600124,169.282,789.607
Pt600125,306.022,158.944
Pt600126,882.339,235.487
Pt600127,11.4787,217.986
Pt600128,887.522,778.639
Pt600129,580.117,644.303
Pt600130,915.803,204.695
Pt600131,492.718,56.6385
Pt600132,425.208,517.246
Pt600133,89.3301,959.816
Pt600134,461.443,116.138
Pt600135,904.581,13.427
Pt600136,723.992,865.174
Pt600137,957.943,699.415
Pt600138,725.516,38.2998
Pt600139,469.097,103.868
Pt600140,32.5208,55.1121
Pt600141,963.897,471.769
Pt600142,328.791,627.968
Pt600143,396.398,921.608
Pt600144,928.768,782.792
Pt600145,66.1441,300.887
Pt600146,636.277,354.634
Pt600147,916.528,483.986
Pt600148,926.465,669.865
Pt600149,467.69,586.299
Pt600150,910.01,729.832
Pt600151,147.066,736.997
Pt600152,487.437,54.4147
Pt600153,64.1455,612.023
Pt600154,362.168,995.33
Pt600155,242.693,282.764
Pt600156,63.1681,403.804
Pt600157,873.673,496.712
Pt600158,900.082,128.778
Pt600159,45.491,342.598
Pt600160,161.177,647.65
Pt600161,662.092,199.1
Pt600162,150.188,396.499
